trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
436,False,"{'a': 0.5, 'e': 0.33413697099017103}",20,14,-2.911226723420743,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
437,False,"{'a': 0.5, 'e': 0.15863755013872718}",25,15,18.28691976133926,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.5, 'e': 0.6125720663156844}",20,0,-81.35681747705145,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
439,False,"{'a': 0.5, 'e': 0.9165275764608679}",30,20,-31.079308974301373,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
440,False,"{'a': 0.5, 'e': 0.9960851708717215}",30,0,-64.3744584402445,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",1
441,False,"{'a': 0.5, 'e': 0.8317663757683622}",30,0,-136.65841271354796,"{0: 15, 1: 6, 2: 8, 3: 0, 4: 1}",0
442,False,"{'a': 0.5, 'e': 0.4638021630104179}",25,16,-26.048152909854803,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
443,False,"{'a': 0.5, 'e': 0.01771699491840461}",25,13,10.764631655714776,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
444,False,"{'a': 0.5, 'e': 0.49489841458940237}",20,0,-2.9838163074124036,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
445,False,"{'a': 0.5, 'e': 0.8509114421832984}",30,13,-26.001562516123403,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
446,False,"{'a': 0.5, 'e': 0.9985916721566993}",25,0,-13.6340947943582,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
447,False,"{'a': 0.5, 'e': 0.9017818336840362}",20,0,-125.09569357474855,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
448,False,"{'a': 0.5, 'e': 0.5841843515845697}",25,14,-27.23451791037119,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
449,False,"{'a': 0.5, 'e': 0.1235581660756696}",25,11,15.922956758726238,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
450,False,"{'a': 0.5, 'e': 0.36731936773024515}",20,5,12.030219113369405,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.5, 'e': 0.7682643096049905}",25,0,-169.1178873119812,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
452,False,"{'a': 0.5, 'e': 0.9811113543339269}",30,0,-207.51752051556238,"{0: 14, 1: 3, 2: 9, 3: 2, 4: 2}",0
453,False,"{'a': 0.5, 'e': 0.9537481220672112}",25,0,-90.36448340686543,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
454,False,"{'a': 0.5, 'e': 0.6928740863898232}",25,16,4.497680773099031,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.5, 'e': 0.2623603095356538}",20,8,-3.005123456725118,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
